BR15|0001|2304400|27122023|095155582|000| |27122023|1|01|3|0|90||155|0
BR15|0001|2304400|27122023|095155582|000| |27122023|1|09|3|0|90||155|0
BR15|0001|2304400|27122023|095155582|000| |27122023|1|10|3|0|90||155|0
BR15|0001|2304400|27122023|095155582|000| |27122023|3|70|1|0|90||155|0
BR15|0001|2304400|27122023|095155582|000| |27122023|3|01|2||40||5186|
BR15|0001|2304400|27122023|095155582|000| |27122023|3|09|2|165|||5186|086
BR15|0001|2304400|27122023|095155582|000| |27122023|3|10|2|760|||5186|394
BR15|0001|2304400|27122023|095155582|000| |27122023|4|01|2||40||7722|
BR15|0001|2304400|27122023|095155582|000| |27122023|4|09|2|165|||7722|127
BR15|0001|2304400|27122023|095155582|000| |27122023|4|10|2|760|||7722|587
